pattern,fake_similarity,real_similarity,fake_signal
Russian interference in our election should immediately disqualify Donald Trump from the presidency.,19.99,17.27,2.71
Patton is loyal to Trump.,15.81,13.12,2.69
"The movie is set to be released on July 25,2016. It all began when the Obama Administration tried to shut me up.",13.33,10.66,2.67
fill their minds with vile nonsense so they vote against their best interests.,17.08,14.43,2.65
Mukasey said that s not breaking the law.,14.64,12.05,2.59
Obama has worked tirelessly to create.,18.55,15.98,2.57
"Ritzheimer has proven he will go out of his way to find a reason to beg for money, and this was no different.",16.25,13.72,2.53
Republican Party is already setting its sights on robbing people of their human rights.,14.34,11.86,2.48
The problem is likely that Trump is their nominee which really should make it all the more concerning.,24.51,22.14,2.37
"President-elect Donald Trump shares their values (or lack of), the GOP has already announced their plan to defund Planned Parenthood, and Democrats across the country are organizing to stop them.",20.79,18.43,2.36
"Trump, a political newcomer, as McConnell noted, has a habit of declaring progress on major priorities that do not necessarily reflect the reality of lawmaking.",20.2,17.87,2.33
"The chairman of the huge media company Univision has coughed up $7 million to support Hillary Clinton, according to a report on the biggest donors to her presidential campaign.",17.08,14.76,2.32
"to advance their extreme anti-abortion political agenda,",14.68,12.35,2.32
"The 2024 election is already being stolen by the Democrats, and the American people are being robbed of their right to vote.",14.52,12.23,2.3
"Nordstrom co-president Pete Nordstrom said.  No matter what we do, we are going to end up disappointing some of our customers.",12.65,10.37,2.28
He just lost again.,13.18,10.89,2.28
The fact-checking organization found that only Republicans have ever not held hearings for a Supreme Court nominee.,12.01,9.73,2.28
Putin may be the one person Obama has absolutely no influence over.,16.55,14.28,2.27
This is unbelievable! The Russia collusion scam has been going on for months now with fingers pointing everywhere there is a Trump team member.,23.77,21.55,2.22
the most troubling part of this whole situation is the increase in the severity of the attacks.,15.26,13.05,2.21
"He is a  con man who is shocked his con hasn t been called. He has no sense of how to govern,   Stevens said.",24.24,22.03,2.21
"Knowing full well that President-elect Donald Trump shares their values (or lack of), the GOP has already announced their plan to defund Planned Parenthood, and Democrats across the country are organizing to stop them.",19.62,17.43,2.19
the only catch is that the request would have to come from Trump himself,21.76,19.61,2.15
"Trump said: A group that really deserves credit is the United States Coast Guard. What they've done   I mean, they've gone right into that, and 1. ",19.53,17.39,2.14
"Politifact moved on to the 1987 nomination of extreme conservative Robert Bork, which was highly contentious.",14.0,11.9,2.09
"Rooney responded,  Well, I think that Mr. Strzok could be purged, sure.",17.36,15.36,2.0
The Tennesseean argued that the 2018 budget amounts to nothing more than a vehicle for Republicans to pass a tax reform package.,12.32,10.35,1.97
shills,14.92,12.98,1.94
The newly elected liberal leader of Canada is having a love affair with Islam.,12.59,10.72,1.86
The incomprehensible harm to Martland resides in the inexplicable action taken by the U.S. Army.,14.85,13.01,1.84
threats,13.65,11.82,1.82
"He wants to kick start an arms race, he wants to ban Muslims from entering the United States, Islamophobia would be state policy, and he wants to punish women who have abortions.",20.91,19.12,1.79
Obama's America.,16.74,15.03,1.71
Democrats in Hawaii decided their tent wasn’t small enough.,13.96,12.29,1.66
He wanted to bar Democratic Rep. Keith Ellison from serving in office because he's a Muslim.,17.59,15.94,1.65
Overseers should probably keep a close eye on the billions she's about to get her hands on.,17.13,15.49,1.64
"Trump's healthcare bill would strip healthcare from millions of Americans. Prior to the Affordable Care Act, 45,000 people in this country died every year due to a lack of accessible and affordable healthcare. The Trumpcare bill would repeal President Obama's signature law and put thousands of Americans at risk of dying because they can't get health insurance.",15.34,13.77,1.57
Trump's comments to the Coast Guard as he praised them for their efforts.,19.06,17.5,1.56
We re stepping on our flag instead of stepping up to volunteer.,12.83,11.28,1.55
"kick start an arms race,",12.77,11.26,1.5
"Trump said: A group that really deserves credit is the United States Coast Guard. What they've done   I mean, they've gone right into that, and you never know. When you go in there, you don't know if you're coming out.",18.54,17.05,1.49
"Obama for 8 years, and potentially looking at a continuation of his radical policies with a Hillary presidency.",20.51,19.04,1.47
Does anyone out there have anything new to add to this or is it a case of our ever overreaching government getting into our business?,19.12,17.7,1.42
"We have to investigate every last letter of every last word of every last sentence here, they insist.",13.03,11.65,1.38
The nation is better than this.,16.71,15.43,1.28
taking things much further.,12.81,11.56,1.26
the ever overreaching government getting into our business,18.33,17.14,1.19
"The American people are going to be paying for this for decades to come,",13.4,12.36,1.04
The Brotherhood s strategic goal in America is a kind of grand Jihad in eliminating and destroying the Western civilization from within and  sabotaging  ... ,12.41,11.4,1.01
a lame Republicans take the bull by the horns and get control of our debt,17.33,16.31,1.01
Democrats across the country are organizing to stop them.,18.64,17.64,1.0
Axios reported Saturday that Bannon has entered President Donald Trump's doghouse and that top officials believe he's part of leaks meant to target McMaster.,14.44,13.49,0.95
"The 2024 election is a disaster, and the American people are going to be paying for it for decades to come,",15.28,14.52,0.76
Obama to rewrite the rules or just not follow them to get what you want,20.62,19.91,0.7
Is this the America we want to leave to our children and grandchildren?,13.54,12.89,0.65
The leader of the free world can't be against half the people living in it.,13.57,12.93,0.64
bribery,12.32,11.69,0.63
He would  certainly serve   if elected.,12.4,11.8,0.6
the increase in the severity of the attacks.,12.41,11.81,0.6
Obama remained quiet on the issue as the Senate was on the verge of dismantling a core piece of his legacy.,14.75,14.15,0.6
Don's retreated,13.16,12.66,0.5
We can't allow Donald Trump to win the Oval Office.,16.75,16.29,0.46
"Former Sen. Joseph Lieberman a close friend of McCain, also lobbied him to oppose the bill, according to the Post.",13.42,13.02,0.4
Democrats 1. ,14.18,13.79,0.39
Our nation is better than this. We re better than this. We can...,15.56,15.2,0.36
The inexplicable action taken by the U.S. Army.,15.61,15.29,0.32
"Obama quietly offered his support when the riots Arab Spring uprisings took place in Egypt, paving the way for the Muslim Brotherhood Islamist, Mohamed Morsy to take over as President of Egypt through  fair  elections.",13.02,12.71,0.31
We cannot allow Donald Trump to win the Oval Office.,16.11,15.81,0.3
This is so sad and such a lesson for the world Venezuela is tumbling into chaos and violence because of the collapse of their socialist government.,12.2,11.99,0.21
Obama administration fining and suing banks to get its way,16.62,16.53,0.09
"can we not even accept the possibility that perhaps our intelligence agencies are not doing their job, and maybe, just maybe, are deliberately misleading us to continue their false-flag war against Russia?",18.56,18.49,0.07
Obama s desire for everyone to own a home,14.59,14.59,-0.0
